Timestamp (ms),TargetIndex (Tid),Range (m),Velocity (m/s),Direction,Signal (dB),Estimated Time of Arrival (s)
5037,1,8.779,0.376367,Towards the RADAR,46.2836,23.3256
6427,1,8.18361,0.501823,Towards the RADAR,45.0858,16.3078
8620,1,8.19304,-0.376367,Away from the RADAR,42.9798,-21.7687
9917,1,7.63273,-0.627279,Away from the RADAR,42.7152,-12.168
13306,1,9.55151,0.376367,Towards the RADAR,44.4242,25.3782
15602,1,7.66133,0.439095,Towards the RADAR,42.2596,17.448
16897,1,11.663,-0.564551,Away from the RADAR,43.4023,-20.6589
18593,1,11.3147,-0.439095,Away from the RADAR,43.5162,-25.7682
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22375,1,9.89681,-0.439095,Away from the RADAR,42.5074,-22.5391
22675,1,6.03472,-0.501823,Away from the RADAR,41.9324,-12.0256
22779,1,10.8929,-0.690007,Away from the RADAR,42.5624,-15.7866
23385,1,8.23166,-0.690007,Away from the RADAR,44.0807,-11.9298
,,,,,,
,2,7.04103,-0.815463,Away from the RADAR,46.7805,-8.63441
,,,,,,
,,,,,,
,,,,,,
23884,1,6.41776,-0.627279,Away from the RADAR,39.8892,-10.2311
23973,1,8.15392,-0.815463,Away from the RADAR,41.8744,-9.99914
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
25076,1,6.66948,-0.627279,Away from the RADAR,45.5174,-10.6324
25182,1,8.10936,-0.87819,Away from the RADAR,43.7181,-9.23417
25278,1,6.17002,-0.940918,Away from the RADAR,41.2326,-6.55745
25380,1,5.95245,-1.06637,Away from the RADAR,44.3409,-5.58195
25481,1,5.85998,-0.87819,Away from the RADAR,43.5361,-6.67279
,2,7.23881,-0.690007,Away from the RADAR,42.0474,-10.4909
25576,1,5.6892,-0.815463,Away from the RADAR,44.2052,-6.97665
26073,1,5.13849,-0.752735,Away from the RADAR,43.2054,-6.82643
26180,1,4.77658,-0.815463,Away from the RADAR,45.6719,-5.85751
,2,5.19995,-0.564551,Away from the RADAR,43.9723,-9.21077
26269,1,6.3551,-0.627279,Away from the RADAR,43.1429,-10.1312
26373,1,6.27295,-0.87819,Away from the RADAR,44.2091,-7.14305
26463,1,6.30428,-0.940918,Away from the RADAR,47.181,-6.70014
26575,1,5.37093,-1.06637,Away from the RADAR,40.8422,-5.03663
26774,1,4.68671,-0.87819,Away from the RADAR,42.9099,-5.33678
26875,1,6.00308,-0.690007,Away from the RADAR,42.501,-8.70003
27070,1,4.61821,-1.06637,Away from the RADAR,46.4777,-4.33076
27160,1,4.90315,-1.1291,Away from the RADAR,43.4378,-4.34253
27264,1,5.48981,-0.940918,Away from the RADAR,46.3065,-5.83452
