Timestamp (ms),TargetIndex (Tid),Range (m),Velocity (m/s),Direction,Signal (dB),Estimated Time of Arrival (s)
26226,1,7.99939,0.439095,Towards the RADAR,47.6203,18.2179
26613,1,4.47776,0.313639,Towards the RADAR,50.3818,14.2768
26820,1,4.64804,0.501823,Towards the RADAR,44.7452,9.26231
26923,1,6.75194,0.690007,Towards the RADAR,46.3731,9.78532
27013,1,5.83039,0.188184,Towards the RADAR,48.4594,30.9824
,2,5.30949,0.627279,Towards the RADAR,44.7458,8.46432
27492,1,0.809168,0.0627279,Towards the RADAR,59.0194,12.8997
27703,1,0.784716,0.188184,Towards the RADAR,51.9612,4.16995
27944,1,6.774212,-0.488184,Away from the RADAR,55.4548,-4.11413
,2,6.14955,0.439095,Towards the RADAR,43.8283,7.17281
28002,1,0.663523,0.0627279,Towards the RADAR,59.8378,10.5778
28492,1,0.809168,0.0627279,Towards the RADAR,59.0194,12.8997
29259,1,8.83717,-0.627279,Away from the RADAR,45.392,-14.0881
,2,5.34065,-0.439095,Away from the RADAR,44.1291,-12.1629
30662,1,7.43721,-0.627279,Away from the RADAR,46.4859,-11.8563
31750,1,8.43604,-0.439095,Away from the RADAR,45.4946,-19.2123
31447,1,5.35635,-0.501823,Away from the RADAR,46.7725,-10.6738
31548,1,5.29089,-0.250912,Away from the RADAR,47.6049,-21.0867
31742,1,0.889926,-0.0627279,Away from the RADAR,58.2429,-14.1871
31951,1,4.44069,-0.439095,Away from the RADAR,41.2297,-10.1133
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
13452,1,5.1065,-0.564551,Away from the RADAR,44.4004,-9.04524
13552,1,6.02858,-0.501823,Away from the RADAR,47.7391,-12.0134
13860,1,7.00162,-0.815463,Away from the RADAR,42.1869,-8.58607
13948,1,5.80835,-0.439095,Away from the RADAR,46.1328,-13.228
14050,1,5.6952,-0.627279,Away from the RADAR,43.5482,-9.07921
14358,1,4.09596,-0.690007,Away from the RADAR,42.6021,-5.93611
,,,,,,
,,,,,,
,,,,,,
,,,,,,
15055,1,8.7746,-0.690007,Away from the RADAR,43.6082,-12.7167
15144,1,5.0934,-0.564551,Away from the RADAR,42.075,-9.02204
15247,1,4.68065,-0.439095,Away from the RADAR,45.6283,-10.6598
15347,1,7.59187,-0.376367,Away from the RADAR,46.5867,-20.1714
15447,1,7.72331,-0.439095,Away from the RADAR,44.7515,-17.5892
15552,1,6.61739,-0.250912,Away from the RADAR,52.8545,-26.3734
15640,1,7.44724,-0.501823,Away from the RADAR,42.2505,-14.8404
15743,1,5.18052,-0.250912,Away from the RADAR,47.9988,-20.6468
15952,1,5.13108,-0.439095,Away from the RADAR,43.7317,-11.6856
16041,1,6.97945,-0.439095,Away from the RADAR,48.2425,-15.8951
16352,1,7.44701,-0.188184,Away from the RADAR,48.1983,-39.5731
17743,1,4.07897,0.376367,Towards the RADAR,44.2213,10.8377
18840,1,2.81708,0.188184,Towards the RADAR,50.57,14.9698
18944,1,0.774212,0.188184,Towards the RADAR,55.4548,4.11413
,2,3.14955,-0.439095,Away from the RADAR,43.8283,-7.17281
20132,1,5.05462,0.501823,Towards the RADAR,45.2067,10.0725
20326,1,3.60441,0.439095,Towards the RADAR,45.3879,8.20873
21033,1,6.14177,-0.501823,Away from the RADAR,48.7491,-12.2389
21138,1,7.19334,-0.439095,Away from the RADAR,46.2509,-16.3822
21437,1,5.24627,-0.313639,Away from the RADAR,49.9257,-16.7271
22433,1,6.66264,-0.313639,Away from the RADAR,49.6019,-21.243
22834,1,5.31765,-0.313639,Away from the RADAR,47.2084,-16.9547
23134,1,5.0704,-0.564551,Away from the RADAR,44.1096,-8.98129
24520,1,6.95063,0.250912,Towards the RADAR,53.1553,27.7015
25115,1,4.7058,0.250912,Towards the RADAR,46.5952,18.7548
25217,1,6.20263,0.313639,Towards the RADAR,51.9759,19.7763
25319,1,5.706,0.313639,Towards the RADAR,45.5197,18.1929
25612,1,6.82341,0.188184,Towards the RADAR,48.1584,36.2593
25715,1,4.78291,0.564551,Towards the RADAR,45.1264,8.47206
