Timestamp (ms),TargetIndex (Tid),Range (m),Velocity (m/s),Direction,Signal (dB),Estimated Time of Arrival (s)
1898,1,0.566186,-0.188184,Away from the RADAR,62.1028,-3.00869
1992,1,0.594637,-0.188184,Away from the RADAR,61.8591,-3.15988
2190,1,0.824694,-0.0627279,Away from the RADAR,61.2296,-13.1472
5576,1,6.59764,0.250912,Towards the RADAR,46.998,26.2947
6381,1,7.07492,-0.752735,Away from the RADAR,42.9887,-9.39895
6485,1,9.06683,-0.940918,Away from the RADAR,42.6375,-9.63615
6574,1,5.87717,-0.940918,Away from the RADAR,40.71,-6.24621
6869,1,7.63283,-0.627279,Away from the RADAR,43.0863,-12.1682
7080,1,10.8304,0.250912,Towards the RADAR,49.2913,43.1641
7184,1,6.26425,-0.501823,Away from the RADAR,46.8911,-12.483
7378,1,6.40206,-0.376367,Away from the RADAR,43.3949,-17.0101
7483,1,6.24627,-0.690007,Away from the RADAR,46.9249,-9.05248
7584,1,8.16728,-0.752735,Away from the RADAR,44.6477,-10.8501
7777,1,6.70572,-0.690007,Away from the RADAR,43.0007,-9.71834
7969,1,5.51481,-0.439095,Away from the RADAR,45.5912,-12.5595
8071,1,4.81691,-0.501823,Away from the RADAR,42.9756,-9.59882
8171,1,5.48143,-0.501823,Away from the RADAR,45.7827,-10.923
8272,1,9.63492,0.376367,Towards the RADAR,46.789,25.5998
,2,6.88744,-0.501823,Away from the RADAR,47.6174,-13.7248
8373,1,6.35117,0.501823,Towards the RADAR,43.977,12.6562
,2,8.671,-0.439095,Away from the RADAR,47.8912,-19.7474
8479,1,7.52009,-0.439095,Away from the RADAR,43.9085,-17.1263
8681,1,5.30104,-0.564551,Away from the RADAR,42.2368,-9.38984
9176,1,6.06248,-0.564551,Away from the RADAR,47.7489,-10.7386
9264,1,4.83916,-0.250912,Away from the RADAR,48.0686,-19.2863
9368,1,6.22297,0.501823,Towards the RADAR,46.1975,12.4007
9473,1,7.61407,0.564551,Towards the RADAR,44.4989,13.4869
9665,1,4.67069,0.313639,Towards the RADAR,46.4901,14.8919
,2,4.15008,-0.313639,Away from the RADAR,48.1749,-13.232
9965,1,5.28676,-0.313639,Away from the RADAR,48.7775,-16.8562
10067,1,4.42588,-0.564551,Away from the RADAR,43.6434,-7.83965
11565,1,9.60128,0.250912,Towards the RADAR,45.9306,38.2656
11656,1,6.02125,0.188184,Towards the RADAR,56.6071,31.9967
11968,1,5.39476,0.627279,Towards the RADAR,42.0734,8.60025
12253,1,6.67309,0.439095,Towards the RADAR,41.4426,15.1974
12357,1,4.53238,0.439095,Towards the RADAR,42.8693,10.3221
13056,1,0.704986,0.125456,Towards the RADAR,60.6592,5.6194
13156,1,0.859978,0.125456,Towards the RADAR,57.8749,6.85483
13952,1,4.22219,0.627279,Towards the RADAR,42.0428,6.73096
15645,1,5.65468,-0.439095,Away from the RADAR,42.3581,-12.878
16047,1,4.32292,-0.439095,Away from the RADAR,41.9673,-9.84505
16457,1,6.27527,-0.501823,Away from the RADAR,45.1438,-12.5049
17252,1,5.31839,-0.250912,Away from the RADAR,49.106,-21.1963
17340,1,7.38925,-0.313639,Away from the RADAR,48.2558,-23.5597
17653,1,5.61968,-0.313639,Away from the RADAR,44.847,-17.9176
18151,1,7.86513,-0.564551,Away from the RADAR,42.6844,-13.9317
18546,1,6.3223,0.188184,Towards the RADAR,47.5497,33.5964
19042,1,1.72429,-0.0627279,Away from the RADAR,59.5182,-27.4884
19147,1,5.59487,0.627279,Towards the RADAR,42.845,8.91926
19342,1,5.59392,0.439095,Towards the RADAR,45.8442,12.7397
,2,0.575461,-0.0627279,Away from the RADAR,61.129,-9.17392
19636,1,5.07909,0.439095,Towards the RADAR,45.774,11.5672
20041,1,6.5276,0.439095,Towards the RADAR,48.6701,14.866
20340,1,8.06941,0.690007,Towards the RADAR,44.7787,11.6947
20745,1,6.29704,0.690007,Towards the RADAR,44.019,9.12606
20833,1,0.473344,0.125456,Towards the RADAR,56.6835,3.77299
21032,1,1.08681,0.0627279,Towards the RADAR,60.8,17.3258
,2,1.8784,0.250912,Towards the RADAR,45.9489,7.4863
21239,1,1.07117,0.0627279,Towards the RADAR,58.2062,17.0765
,2,4.54058,0.815463,Towards the RADAR,40.8117,5.56811
21343,1,1.18037,0.0627279,Towards the RADAR,59.8174,18.8174
24635,1,7.7461,-0.690007,Away from the RADAR,45.829,-11.2261
24724,1,5.85027,-0.501823,Away from the RADAR,43.3658,-11.658
24829,1,7.02543,-0.564551,Away from the RADAR,42.8436,-12.4443
25035,1,6.31502,-0.690007,Away from the RADAR,42.5725,-9.15211
25229,1,5.92764,-0.627279,Away from the RADAR,41.7972,-9.44976
25725,1,6.99755
